id;title;description;address;dateFrom;dateTo;city;tag
1;Dani karanfila;Manifestacija Dani karanfila je tradicionalna manifestacija koja se od 1963.g. održava u Vranjskoj Banji i predstavlja nastavak „Banjskog sevdaha“. Počinje „Budilicom“  uz zvuke trube, a završava se izborom za najlepšu devojku, koja osvaja titulu „Karanfil devojče“. Obuhvata i takmičenje u pripremi starinskih jela, zatim nastupe folklornih društava, duvačkih orkestara, estradnih umetnika, šahovski turnir, izložbe slika, cveća i dečijih radova, kao i književne večeri.;Kralja Petra Prvog Oslobodioca;15.08.2022.;21.08.2022.;Vranje;events
2;Svetosavska nedelja;Svetosavska nedelja je duhovna, kulturno-obrazovna manifestacija u čast srpskom prosvetitelju Svetom Savi. Vranje je prvi grad u Srbiji koji je pre dve decenije počeo sa obeležavanjem Svetosavske nedelje i afirmacijom vrednosti kolektiva i pojedinaca u  obrazovanju. Okosnicu ove manifestacije čine učenici osnovnih i srednjih škola i kulturno-obrazovne ustanove. Sadržajni elementi manifestacije jesu izložba slika, književno veče, veče izvorne srpske muzike, pozorišne predstave, duhovna akademija  Eparhije vranjske i svečana akademija na kojoj se dodeljuju nagrade i priznanja Sveti Sava zasluženim kolektivima i pojedincima.;Narodnog heroja 1;21.01.2022.;27.01.2022.;Vranje;events
3;Dan grada - 31. januar;"Tradicionalna manifestacija posvećena danu oslobođenja Vranja od Turaka jeste Dan Grada Vranja. Vranje je od turske vlasti oslobođeno 31. januara 1878.g. na čelu sa generalom Belimarkovićem i taj datum se prigodno obeležava nizom svečanosti. Na programu su kulturni i sportski događaji i to izložbe fotografija, projekcije filmova, promocije knjiga, koncerti, tradicionalni marš ""Stazama oslobodioca Vranja"", sportski susreti. Krunu obeležavanja čini svečana akademija i uručenje priznanja ""31.januar"".";Bulevar Patrijarha Pavla 1;25.01.2022.;31.01.2022.;Vranje;events
4;Festival vranjske gradske pesme;"Festival vranjske gradske pesme je muzičko-kulturna manifestacija posvećena promociji i očuvanju pesme Vranja. Održava se uz prisustvo eminentnih stručnjaka i njihovih izvedbi – koncerata solista i predavanja etnomuzikologa. Vranjska pesma je zaštićeno nematerijalno kulturno dobro i kao takvo jeste čuvar tradicije i identiteta, a grad Vranje je član Uneskove mreže kreativnih gradova iz oblasti muzike. Prvi festival je organizovan pod sloganom ""Oću da vi pojem vranjansko"", a period održavanja je vezan za dan smrti Stane Avramović Karaminge, poznate vranjske pesmopojke i igraorke i autorke čuvene pesme ""Dimitrijo, sine Mitre"". Ove 2022.g. u okviru festivala biće održana i promocija monografije ""Vranjsko muzičko nasleđe"". Svi ljubitelji vranjskih setnih nota i reči, mogu uživati u njima zahvaljujući ovom muzičkom događaju.";Narodnog heroja 1;21.02.2022.;22.02.2022.;Vranje;events
5;Borini književni dani;Borini književni dani predstavljaju kulturno-književnu manifestaciju koja se organizuje u čast velikanu srpske književnosti, Borisavu Stankoviću i koja je vremenski vezana za datum piščevog rođenja. Podrazumeva  promocije knjiga i književne večeri na kojima nastupaju mnogobrojni pisci, naučni i kulturni radnici i kritičari iz regiona odnosno zemalja bivše Jugoslavije. ;Heroji sa Košara;21.03.2022.;24.03.2022.;Vranje;events
6;Justinove Blagovesti;Justinove Blagovesti predstavljaju duhovnu manifestaciju, koja je posvećena osvetljavanju, negovanju i afirmaciji dela Prepodobnog Oca Justina Ćelijskog i Vranjskog. Program je vezan za praznik Blagovesti, dan rođenja i upokojenja Oca Justina i sadrži svečanu akademiju i okrugli sto na kojoj najistaknutiji teolozi, književnici i publicisti besede o delu Ave Justina, dok u umetničkom delu učestvuju poznati pojci, izvođači duhovne muzike i ostali umetnici najrazličitijeg profila. ;Oca Justina Popovića bb;07.04.2022.;07.04.2022;Vranje;events
7;Maj mesec muzike;"Muzička manifestacija, koja se tradionalno održava u mesecu maju je ""Maj mesec muzike"". Obuhvata niz koncerata klasične muzike i umetničkih izložbi, nastupe kamernih ansambala, takmičenje malih pijanista, a završava se proslavom Dana muzičke škole „Stevan Mokranjac“. Ljubitelji klasične muzike imaju priliku da uživaju u vrhunskom muzicioniranju umetnika iz Srbije i regiona.";Bore Stankovića 10;04.05.2022.;31.05.2022.;Vranje;events
8;Međunarodna izložba pasa svih rasa CACIB Vranje;Međunarodna izložba pasa svih rasa “CACIB” Vranje je tradicionalna manifestacija koja se visoko pozicionira na mapi kinoloških manifestacija ne samo u Srbiji, već i u regionu. Sudijsku listu čine renomirana imena u svetu kinologije, a više od polovine učesnika bude iz inostranstva. Tako da manifestacija omogućava kandidaturu za internacionalnog šampiona. Prosečan broj pasa je oko 300 u preko 100 rasa. Pored izlagača iz Srbije, učestvuju i kinolozi iz više od dvadeset zemalja Evrope, Izraela, Japana, Indije i sa Tajlanda.;Bulevar Patrijarha Pavla 1;01.05.2022.;01.05.2022.;Vranje;events
9;Muzeji za 10;"Muzeji za 10 je naziv kulturne manifestacije koja predstavlja republički muzejski višednevni događaj. U njemu, JU ""Narodni muzej"" Vranje sa svojim organizacionim jedinicama - Galerijom muzeja i Muzej kućom Bore Stankovića aktivno učestvuje. Pored mogućnosti razgledanja stalnih postavki pomenutih izložbeno-prostornih celina, organizuju se i brojne kulturne aktivnosti: izložbe, koncerti, video projekcije i pozorišne predstave. Pri tome, ulaz je slobodan za sve zainteresovane.";Pionirska  1;14.05.2022.;20.05.2022.;Vranje;events
10;Međunarodna likovna kolonija;Međunarodna likovna kolonija je kulturno-umetnička manifestacija koja okuplja umetnike različitih stilskih opredeljenja iz Srbije i regiona. U okviru višednevnog otvorenog ateljea, gosti i domaćini odnosno polaznici Kolonije imaju priliku da razmene iskustva, da stvaraju, upoznaju Vranje i da se druže. Nakon završetka događaja, organizuje se izložba likovnih radova učesnika Kolonije.;Kneza Miloša 26;18.07.2022.;27.07.2022.;Vranje;events
11;Vranjski planinarski maraton;Vranjski planinarski maraton je tradicionalna sportsko-rekreativna manifestacija namenjena planinarima, rekreativcima i ljubiteljima prirode. Ima republički karakter, jer okuplja učesnike iz cele Srbije. Pored staze maratona za profesionalce, postoji i staza zadovoljstva za rekreativce uz prisustvo obučenih vodiča. Izdvaja se druženje svih učesnika na organizovanom zajedničkom ručku pored kladenca u netaknutoj prirodi. Obuhvata prelepe predele vranjskog kraja, planinu Grot koja predstavlja ostatke paleovulkanskog reljefa u Srbiji. Start staze je Trg Republike, odakle se svima želi dobar korak.;Planina Grot;01.10.2022.;02.10.2022.;Vranje;events
12;Internacionalna radionica dečjeg animiranog filma-Zlatni puž;Internacionalna radionica dečjeg animiranog filma - Zlatni puž je tradicionalna umetnička manifestacija. Njen koncept je da deca i mladi iz različitih krajeva sveta, stvaraju animirane filmove u kreativnoj atmosferi, angažujući se u svakom segmentu nastajanja filma od ideje, sinopsisa, stvaranja likova pa do snimanja i montaže. Neposredan pristup u radu i zanimljiva predavanja, dovode do toga da se svi ti mladi ljudi pretvaraju u kreativce koji su u stanju da po deset sati dnevno rade ne bi li kao krajnji produkt videli, tek, nekoliko sekundi svoje animacije. Predavači su poznati animatori iz Srbije i inostranstva koji kroz praktičan rad i predstavljanjem svog umetničkog opusa podučavaju decu i mlade animaciji. Pritom su učesnici podeljeni u grupe i tako zajedno rade na izradi grupnih animiranih filmova, a to dovodi do njihovog zbližavanja iz različitih kultura i govornih područja u cilju stvaranja multikulturalnog  društva. Inače, škola animiranog filma u Vranju je prva te vrste otvorena u Srbiji.;Heroji sa Košara;08.08.2022.;14.08.2022.;Vranje;events
13;Pčelarski sajam JI Balkana;Pčelarski sajam JI Balkana je privredno-turistička manifestacija koja okuplja proizvođače i ljubitelje meda i pčelinjih proizvoda iz zemalja jugoistočnog dela Balkana. Osim prodajne izložbe, podrazumeva i održavanje predavanja u prisustvu vrsnih stručnjaka i Univerzitetskih profesora. U njoj učestvuje oko 70 izlagača predstavljajući svoje proizvode od meda, pčelarsku opremu i publikacije iz oblasti pčelarstva.;Bulevar Patrijarha Pavla 1;10.09.2022.;10.09.2022.;Vranje;events
14;Borini pozorišni dani;Borini pozorišni dani jesu tradicionalna kulturno-umetnička manifestacija koja se organizuje Bori u čast, a vremenski je vezana za datum njegove smrti. Održava se od davne 1979.g.  Događaj omogućava da na pozornici vranjskog pozorišta, ljubitelji umetnosti mogu da vide najbolje pozorišne predstave iz protekle sezone i one koje su premijerno prikazane tekuće godine. Tu su i predstave Borinih dela u izvođenju pozorišta domaćina. Zatim, organizuju se i video projekcije snimaka predstava iz pozorišne prošlosti, izložbe i predavanja uglednih kritičara umetnosti i književnosti. Na kraju publika i stručni žiri biraju najbolju predstavu i najbolje glumačko ostvarenje. Za vreme održavanja ove manifestacije, Vranje je stecište kulture, tradicije, umetnosti i zabave.;Narodnog heroja 1;21.10.2022.;28.10.2022.;Vranje;events
15;"Međunarodni festival dokumentarnog filma ""Dokument""";“Dokument” je kulturno-umetnička manifestacija, koja predstavlja festival dokumentarnog filma međunarodnog karaktera. Prvi festival bio je održan 2006.g.i bio je otvoren od strane  Rodriga Moralesa, argentinskog filmskog  reditelja i profesora na filmskoj akademiji  u Pragu. Inače, festival podrazumeva besplatne filmske projekcije autora iz Srbije i drugih zemalja i pruža mogućnost uživanja u najzapaženijim dokumentarnim ostvarenjima. Poseban kuriozitet vranjskog Dokumenta je to što su na svakom od festivala prisutni gosti, autori i akteri filmova.;Narodnog heroja 1;22.12.2022.;24.12.2022.;Vranje;events
